speaker,words,timestamp
Leonard Feather,Herb Ellis blindfold test record one.,00:00:01
Herb Ellis,Do I start?,00:00:12
Leonard Feather,"Yeah, go ahead.",00:00:14
Herb Ellis,"Well, I think that sounded very much Charlie Byrd to me.",00:00:14
Leonard Feather,Mm-hmm.,00:00:18
Herb Ellis,And he's one of my favorite players. Although I thought the arrangement was a little trite.,00:00:23
Leonard Feather,Yeah.,00:00:31
Herb Ellis,"For his standard. And I thought that the tune was a little trite also. But, I thought his performance was very good. However they didn't get too good a sound on him. They got a little too much metallic and finger noises. So, I give it three stars, mainly because of Charlie. And he does play so very well.",00:00:31
Leonard Feather,Yeah.,00:00:56
Herb Ellis,"It's beautiful. I think that's Wes Montgomery and George Shearing. I know they did an album together. I have never heard anything from it. To my eyes, that's who it is.",00:00:59
Leonard Feather,Mm-hmm.,00:01:12
Herb Ellis,"And, I think it's beautiful. I've got to give it four stars.",00:01:16
Leonard Feather,Who do you think composed it?,00:01:20
Herb Ellis,"I don't know. I think George composed it. But it's well recorded and all the soloists come off beautifully. Wes Montgomery is definitely one of my favorite jazz guitarists. So, that's a four star.",00:01:26
Leonard Feather,"Oh, fine.",00:01:51
Herb Ellis,"Wes and George think melodically similar, composing, not necessarily improvising.",00:01:52
Leonard Feather,Yeah.,00:01:58
Herb Ellis,"But, composing they think very similar.",00:01:58
Herb Ellis,"Well, from that bass guitar, it's hard to tell who played it, because I don't particularly like the sound of it.",00:02:06
Leonard Feather,Yeah.,00:02:13
Herb Ellis,"I think it's Barney Kessel. The only reason I do think it's Barney, is because the arrangement sounds like Barney. And, a couple of the times the comping behind the soloist sounded like Barney.",00:02:14
Leonard Feather,Yeah.,00:02:23
Herb Ellis,"But that's the only way I could tell. Anyway, I think it's worth about two stars. If it is Barney, he also is one of my favorite players, but that's not one of my favorite-",00:02:24
Leonard Feather,You don't like the type of-,00:02:37
Herb Ellis,I don't like that type of record.,00:02:39
Leonard Feather,Yeah.,00:02:40
Herb Ellis,"Well, I don't know. I don't know who it was. The bass player sounded very good. I like the bass player. And the tenor solo sounded good. The trumpet solo, he's a good player, but I though he's a little too obvious a copy, of Miles.",00:02:47
Leonard Feather,Yeah.,00:03:07
Herb Ellis,"Not that that's not good, but I mean he's just copying a little too much on this particular record. Maybe he doesn't do that all the time. And the trombone didn't come off too well. The piano come off fair. It's a fairly nice little composition. I'd rate it three stars.",00:03:07
Leonard Feather,"Otherwise, no particular comment on the composition?",00:03:25
Herb Ellis,"Yeah, the composition is pretty nice. I liked it pretty good.",00:03:31
Leonard Feather,Okay.,00:03:33
Herb Ellis,The writing is pretty good.,00:03:34
Herb Ellis,Yeah right. Go ahead now.,00:03:49
Leonard Feather,"I'll pick up the phone. Hello. Yes. Oh Tony, how are you? It's quite a... No, I'd like to get on the other phone. Just hold on one moment. What number are you at? Well I tried to get you at home this morning. Did you get the message from my office yesterday? From your office? Yeah, because I didn't know you weren't there. And I was very surprised and wanted to find out what was happening. No kidding. I'd like to hear about it. Probably, yeah. Very often it is the people who get out of there. Well, will you be home later? All right, fine. Because I'm in the middle of an interview now. Will you be home? I can call you. Is it Crest view 123 [crosstalk 00:37:29]. Oh, I wouldn't have got you anyway, because I was calling your old number. 0846363. Well, it didn't refer this morning, it just rang, as far as I recall. All right, well I'll talk to you later anyway Tony. Okay. Bye. Tony Newman, you know him?",00:03:53
Herb Ellis,No. [crosstalk],00:04:58
Leonard Feather,...son?He was at Capitol.,00:04:58
Herb Ellis,"Oh no, I don't know him.",00:05:01
Leonard Feather,"And he just got aced out of a job there as A&R man at Capitol. Oh, we're running.",00:05:03
Herb Ellis,"Well, first of all the composition is beautiful. We used to play it with Oscar, when I was with Oscar. I can't think of the name right now, but I love that. There's certain things about it. It's got a pretty nice feel. The record has. It feels pretty good. And the french horn player tried some very adventurous-",00:05:08
Leonard Feather,Yeah.,00:05:39
Herb Ellis,...things. And some of them came off.,00:05:39
Leonard Feather,That's right.,00:05:40
Herb Ellis,That's a hard instrument. I know because that was my first instrument.,00:05:41
Leonard Feather,Oh yeah.,00:05:45
Herb Ellis,I started it in college. It was too late. I know how hard it is. So I got to give him some skin for it.,00:05:46
Leonard Feather,Yeah.,00:05:52
Herb Ellis,"Making something. And the guitarist, I don't think it could be Wes Montgomery. If it is, it's Wes on day that's not too good. But, the guy plays with a thumb, and he plays the chords, and he plays the octaves, and everything.",00:05:53
Leonard Feather,Yeah.,00:06:09
Herb Ellis,"But, if it is Wes, I don't think it is, but if it is, it just wasn't one of his days, in my opinion.",00:06:09
Leonard Feather,"But for anybody else, you think it'd be a good day?",00:06:19
Herb Ellis,Anybody else it'd be pretty good.,00:06:21
Leonard Feather,All right.,00:06:22
Herb Ellis,"But, I would say it's about three stars. It's not a bad record at all.",00:06:24
Leonard Feather,"Yeah, okay.",00:06:28
Herb Ellis,Are you recording?,00:06:32
Leonard Feather,Yeah.,00:06:33
Herb Ellis,"Yeah, I forgot to say that I thought the bass player sounded excellent on that record.",00:06:33
