speaker,words,timestamp
"[Plays ""Soaring"" by Bob Florence, from Soaring, Bosco Records (1983). Personnel: Chauncey Welsh: trombone; Warren Luening: flugelhorn; Nick Ceroli: drums; Bob Florence: composer, arranger.]",,
Leonard Feather,Go ahead.,23:30
Rob McConnell,"Really liked the piece. I don't know who it is exactly. It reminds me of a lot of people. I suspect this maybe Ashley Alexander playing the double trombone, the valve slide trombone. It sounds like him and it sounds like that instrument. If not, I don't know who it is. He's either a very slippery slide trombone player or he's playing the double trombone. Sounds like a valve at times and slide at others. I like the composition. I thought it was great. The whole first part. Unison was lovely as opposed to... Well, it was just lovely hearing unison. I very seldom write unisons and it's just a reminded me how nice they are sometimes. I always have the desire to voice everything out 38 ways.",23:35
Leonard Feather,[inaudible 24:36].,24:28
Rob McConnell,"Oh, okay, sure. Yeah. And a nice rhythm section. I thought the drummer was excellent. The Brazilian time was kind of modified samba time. I thought it was good. The recording quality as it seemed to be, be a little, not bright enough for my taste, but that may just be a personal thing. Thought the chart was good. The flugel or trumpet solo, I think. Well that's that again. I think it was flugel it may have been Ashley Alexander and an arranger from Texas. His name's Mantooth or something. I thoroughly enjoyed it. I thought that the chart reminded me of Bill Holman. It's Bill Holman inspired or the arranger is at one time rather... The unisons especially. Lovely last chord in tune and very plain. I liked the whole thing. Just delightful.",24:31
Leonard Feather,[inaudible 25:56].,25:36
Rob McConnell,Oh four at least.,25:38
"[Plays ""March of the Tadpoles"" by Toshiko Akiyoshi and Lew Tabackin, from March of the Tadpoles, RCA Records (1977). Personnel: Gary Foster: alto saxophone; Bill Reichenbach: trombone; Bobby Shew: flugelhorn; Phil Teele: bass trombone; Peter Donald: drums; Don Baldwin: bass.]",,
Leonard Feather,Go ahead.,25:48
Rob McConnell,"Go ahead? Well I think it was Toshiko... I'm a little apprehensive now after completely killing myself on the first one, but I think it's Toshiko and Lew's band. And then probably Bill Reichenbach and Phil Teele on bass trombone and Gary Foster and Bobby Shew and all the LA animals. And I love that chart... It's a very effective, nice chart. The trombone soli is the greatest. I'll mention that. I would never write that hard for trombones myself cause if I tried any of the parts I probably couldn't play them. It had a real nice, It had a real nice feel, the whole thing. It was a very good chart. And well played.",25:49
Leonard Feather,All the things were?,26:47
Rob McConnell,Interesting. Yeah. All the things... I forget the name of the tune. Is it Toshiko's.,26:48
Leonard Feather,Originally.,26:55
Rob McConnell,"Yeah. Yeah, yeah. It almost sounds like a Lennie Tristano head on all the things. Yeah, but it's Toshiko's. And I saw nothing the matter with it, the recording, I don't know whether it's... I have a Feeling... I don't know whether it's Fender upright bass. Now, maybe that's just the recording. I should be able to tell a difference, but that's my fault, not the recording, likely. I enjoyed the whole thing. Like the drummer. I have heard that before and have no reason to change my mind. Four and a half out of five. Easy. Easy. Sure.",26:56
"[Plays ""How Sweet It Is"" by Count Basie, from Warm Breeze, Pablo Records (1981). Personnel: Count Basie: piano; Sammy Nestico: composer; Harry ""Sweets"" Edison: trumpet; Danny Turner: alto saxophone; Cleveland Eaton: bass; Gregg Field: drums.]",,
Rob McConnell,"Well, I love that great blues chart. Lovely band, excellent drummer, bass player. Piano player. Sounds so much like Basie that it's... It might be. But I think not. I haven't heard it before. I don't remember hearing it before. If the trumpet player isn't Sweets, he listened to Sweets an awful lot. Lead alto players and Marshall Royal, he's listened to him an awful lot. And the piano player, same vis-a-vis Basie. I would say, I could guess, I guess it's Bill Barry's band with Marshall and Sweets, and I loved the whole thing. I loved all the solos, especially if it was Sweets. If it was Bill, I loved it, anyway. Five stars. The recording's nice. Everything about it was great.",27:54
"[Plays ""Little Wing"" by Gil Evans, from There Comes A Time, RCA Records (1976). Personnel: David Sanborn: alto saxophone.]",,
